"External migration by sex, age and citizenship 1986-2014"

"Sex";"Year";"Age";"Total Net immigration"
"Total";"1990";"105 years";-
"Total";"1990";"106 years";-
"Total";"1990";"107 years";-
"Total";"1990";"108 years";-
"Total";"1990";"109 years";-
"Total";"1990";"110 years";-
"Total";"1991";"1 year";23
"Total";"1991";"2 years";7
"Total";"1991";"3 years";22
"Total";"1991";"4 years";18
"Total";"1991";"5 years";22
"Total";"1991";"6 years";5
"Total";"1991";"7 years";17
"Total";"1991";"8 years";7
"Total";"1991";"9 years";14
"Total";"1991";"10 years";16
"Total";"1991";"11 years";13
"Total";"1991";"12 years";12
"Total";"1991";"13 years";12
"Total";"1991";"14 years";17
"Total";"1991";"15 years";5
"Total";"1991";"16 years";44
"Total";"1991";"17 years";28
"Total";"1991";"18 years";37
"Total";"1991";"19 years";65
"Total";"1991";"20 years";18
"Total";"1991";"21 years";16
"Total";"1991";"22 years";28
"Total";"1991";"23 years";27
"Total";"1991";"24 years";29
"Total";"1991";"25 years";27
"Total";"1991";"26 years";32
"Total";"1991";"27 years";27
"Total";"1991";"28 years";-7
"Total";"1991";"29 years";25
"Total";"1991";"30 years";27
"Total";"1991";"31 years";43
"Total";"1991";"32 years";20
"Total";"1991";"33 years";18
"Total";"1991";"34 years";32
"Total";"1991";"35 years";34
"Total";"1991";"36 years";23
"Total";"1991";"37 years";13
"Total";"1991";"38 years";31
"Total";"1991";"39 years";-1
"Total";"1991";"40 years";5
"Total";"1991";"41 years";25
"Total";"1991";"42 years";10
"Total";"1991";"43 years";10
"Total";"1991";"44 years";8
"Total";"1991";"45 years";-3
"Total";"1991";"46 years";-1
"Total";"1991";"47 years";15
"Total";"1991";"48 years";1
"Total";"1991";"49 years";-3
"Total";"1991";"50 years";3
"Total";"1991";"51 years";1
"Total";"1991";"52 years";12
"Total";"1991";"53 years";0
"Total";"1991";"54 years";4
"Total";"1991";"55 years";3
"Total";"1991";"56 years";-3
"Total";"1991";"57 years";0
"Total";"1991";"58 years";3
"Total";"1991";"59 years";1
"Total";"1991";"60 years";-1
"Total";"1991";"61 years";0
"Total";"1991";"62 years";3
"Total";"1991";"63 years";0
"Total";"1991";"64 years";0
"Total";"1991";"65 years";2
"Total";"1991";"66 years";1
"Total";"1991";"67 years";2
"Total";"1991";"68 years";1
"Total";"1991";"69 years";2
"Total";"1991";"70 years";2
"Total";"1991";"71 years";2
"Total";"1991";"72 years";1
"Total";"1991";"73 years";2
"Total";"1991";"74 years";2
"Total";"1991";"75 years";1
"Total";"1991";"76 years";1
"Total";"1991";"77 years";-
"Total";"1991";"78 years";0
"Total";"1991";"79 years";-
"Total";"1991";"80 years";-
"Total";"1991";"81 years";-
"Total";"1991";"82 years";-1
"Total";"1991";"83 years";-
"Total";"1991";"84 years";-
"Total";"1991";"85 years";-
"Total";"1991";"86 years";1
"Total";"1991";"87 years";1
"Total";"1991";"88 years";-
"Total";"1991";"89 years";-
"Total";"1991";"90 years";-
"Total";"1991";"91 years";-
"Total";"1991";"92 years";-
"Total";"1991";"93 years";-
"Total";"1991";"94 years";-
"Total";"1991";"95 years";-
"Total";"1991";"96 years";-
"Total";"1991";"97 years";-
"Total";"1991";"98 years";-
"Total";"1991";"99 years";-
"Total";"1991";"100 years";-
"Total";"1991";"101 years";-
"Total";"1991";"102 years";-
"Total";"1991";"103 years";-
"Total";"1991";"104 years";-
"Total";"1991";"105 years";-
"Total";"1991";"106 years";-
"Total";"1991";"107 years";-
"Total";"1991";"108 years";-
"Total";"1991";"109 years";-
"Total";"1991";"110 years";-
"Total";"1992";"1 year";9
"Total";"1992";"2 years";6
"Total";"1992";"3 years";-6
"Total";"1992";"4 years";23
"Total";"1992";"5 years";16
"Total";"1992";"6 years";20
"Total";"1992";"7 years";27
"Total";"1992";"8 years";6
"Total";"1992";"9 years";8
"Total";"1992";"10 years";2
"Total";"1992";"11 years";17
"Total";"1992";"12 years";9
"Total";"1992";"13 years";12
"Total";"1992";"14 years";5
"Total";"1992";"15 years";6
"Total";"1992";"16 years";11
"Total";"1992";"17 years";-9
"Total";"1992";"18 years";16
"Total";"1992";"19 years";5
"Total";"1992";"20 years";-40
"Total";"1992";"21 years";-29
"Total";"1992";"22 years";-37
"Total";"1992";"23 years";-60
"Total";"1992";"24 years";-26
"Total";"1992";"25 years";-37
"Total";"1992";"26 years";-18
"Total";"1992";"27 years";-57
"Total";"1992";"28 years";-4
"Total";"1992";"29 years";0
"Total";"1992";"30 years";-10
"Total";"1992";"31 years";-34
"Total";"1992";"32 years";6
"Total";"1992";"33 years";-10
"Total";"1992";"34 years";-18
"Total";"1992";"35 years";8
"Total";"1992";"36 years";-7
"Total";"1992";"37 years";-10
"Total";"1992";"38 years";2
"Total";"1992";"39 years";-2
"Total";"1992";"40 years";-1
"Total";"1992";"41 years";-19
"Total";"1992";"42 years";-34
"Total";"1992";"43 years";-20
"Total";"1992";"44 years";-4
"Total";"1992";"45 years";0
"Total";"1992";"46 years";-2
"Total";"1992";"47 years";-13
"Total";"1992";"48 years";-14
"Total";"1992";"49 years";-10
"Total";"1992";"50 years";10
"Total";"1992";"51 years";-1
"Total";"1992";"52 years";-8
